suite,file,circuit,phase,success,failure,gates,inputs,outputs,edges,attempts_limit,attempts_evaluated,route_fail,phase_fail,exception_fail,success_candidates,best_attempt,x_spacing,y_spacing,search_cost,width,height,area,route_length,total_adjacent,repeated_adjacent,repeat_ratio,max_run,runtime_s,block_size,padded_width,padded_height,padded_cells,padding_cells,phase_cells,tile_count,hex_chars,packed_bytes,packed_line_chars,legacy_coord_chars,packed_line_ratio,packed_bits_per_layout_cell,packed_bits_per_padded_cell,codec_roundtrip,codec_mismatches,ifcn_file,layout_tex_file
TOY,tests/benchmarks_f/TOY/xor2.v,xor2.v,4,yes,,7,2,1,8,80,8,4,0,0,4,5,2,1,90.0,3,4,12,21,14,4,0.285714,2,0.453208,4,4,4,16,4,11,1,8,4,22,99,0.222222,2.666667,2.000000,yes,0,experiments/phase_pr/debug_layouts/TOY_xor2_p4.ifcn,experiments/phase_pr/debug_layouts/TOY_xor2_p4_layout.tex
TOY,tests/benchmarks_f/TOY/xor2.v,xor2.v,3,yes,,7,2,1,8,80,8,4,0,0,4,5,2,1,90.0,3,4,12,21,14,2,0.142857,2,0.328822,3,3,6,18,6,11,2,12,6,40,99,0.404040,4.000000,2.666667,yes,0,experiments/phase_pr/debug_layouts/TOY_xor2_p3.ifcn,experiments/phase_pr/debug_layouts/TOY_xor2_p3_layout.tex
