suite,file,circuit,phase,success,failure,gates,inputs,outputs,edges,attempts_limit,attempts_evaluated,route_fail,phase_fail,exception_fail,success_candidates,best_attempt,x_spacing,y_spacing,search_cost,width,height,area,route_length,total_adjacent,repeated_adjacent,repeat_ratio,max_run,runtime_s,block_size,padded_width,padded_height,padded_cells,padding_cells,phase_cells,tile_count,hex_chars,packed_bytes,packed_line_chars,legacy_coord_chars,packed_line_ratio,packed_bits_per_layout_cell,packed_bits_per_padded_cell,codec_roundtrip,codec_mismatches,ifcn_file,layout_tex_file
TOY,tests/benchmarks_f/TOY/xor2.v,xor2.v,4,yes,,7,2,1,8,24,8,0,0,0,8,1,1,1,90.0,3,4,12,20,13,3,0.230769,2,0.162244,4,4,4,16,4,10,1,8,4,22,90,0.244444,2.666667,2.000000,yes,0,experiments/phase_pr/layouts/TOY_xor2_p4.ifcn,experiments/phase_pr/layouts/TOY_xor2_p4_layout.tex
TOY,tests/benchmarks_f/TOY/xor2.v,xor2.v,3,yes,,7,2,1,8,24,8,0,0,0,8,1,1,1,90.0,3,4,12,20,13,3,0.230769,2,0.003132,3,3,6,18,6,10,2,12,6,40,90,0.444444,4.000000,2.666667,yes,0,experiments/phase_pr/layouts/TOY_xor2_p3.ifcn,experiments/phase_pr/layouts/TOY_xor2_p3_layout.tex
