suite,file,circuit,phase,success,failure,gates,inputs,outputs,edges,attempts_limit,attempts_evaluated,route_fail,phase_fail,exception_fail,success_candidates,best_attempt,x_spacing,y_spacing,search_cost,width,height,area,route_length,total_adjacent,repeated_adjacent,repeat_ratio,max_run,runtime_s,block_size,padded_width,padded_height,padded_cells,padding_cells,phase_cells,tile_count,hex_chars,packed_bytes,packed_line_chars,legacy_coord_chars,packed_line_ratio,packed_bits_per_layout_cell,packed_bits_per_padded_cell,codec_roundtrip,codec_mismatches,ifcn_file,layout_tex_file
MAJ,tests/benchmarks_f/MAJ/1bitAdderAOIG.v,1bitAdderAOIG.v,4,yes,,20,3,2,28,320,87,27,0,0,60,82,3,3,90.0,7,31,217,255,227,49,0.215859,4,3.880280,4,8,32,256,39,138,16,128,64,352,1326,0.265460,2.359447,2.000000,yes,0,experiments/phase_pr/full_layouts/MAJ_1bitAdderAOIG_p4.ifcn,experiments/phase_pr/full_layouts/MAJ_1bitAdderAOIG_p4_layout.tex
MAJ,tests/benchmarks_f/MAJ/1bitAdderAOIG.v,1bitAdderAOIG.v,3,yes,,20,3,2,28,320,83,26,0,0,57,82,3,3,90.0,7,31,217,255,227,49,0.215859,4,4.755565,3,9,33,297,80,138,33,198,99,663,1326,0.500000,3.649770,2.666667,yes,0,experiments/phase_pr/full_layouts/MAJ_1bitAdderAOIG_p3.ifcn,experiments/phase_pr/full_layouts/MAJ_1bitAdderAOIG_p3_layout.tex
